"","time","num_inf","perc"
"1",0,0,0
"2",5,1,0.512820512820513
"3",10,22,11.2820512820513
"4",15,67,34.3589743589744
"5",20,48,24.6153846153846
"6",25,30,15.3846153846154
"7",30,10,5.12820512820513
"8",35,5,2.56410256410256
"9",40,3,1.53846153846154
"10",45,2,1.02564102564103
"11",50,3,1.53846153846154
"12",55,2,1.02564102564103
"13",60,1,0.512820512820513
"14",65,1,0.512820512820513
"15",70,0,0
